_time,Unit-Name,new-email,message,Agent,Location
2016-11-23T16:15:44.640-0500,Academic_Unit2,User8592@virginia.edu,Email Opened,,
2016-11-23T14:57:39.148-0500,Academic_Unit2,User7053@virginia.edu,Email Opened,,
2016-11-23T13:26:41.017-0500,Academic_Unit2,User3332@virginia.edu,Email Opened,,
2016-11-23T13:09:10.933-0500,Academic_Unit1,User771@virginia.edu,Submitted Data,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36",Off Grounds
2016-11-23T13:08:56.360-0500,Academic_Unit1,User771@virginia.edu,Clicked Link,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36",Off Grounds
2016-11-23T12:23:38.827-0500,Academic_Unit1,User964@virginia.edu,Submitted Data,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.98 Safari/537.36",On Grounds
2016-11-23T12:23:26.742-0500,Academic_Unit1,User964@virginia.edu,Clicked Link,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.98 Safari/537.36",On Grounds
2016-11-23T12:23:18.716-0500,Academic_Unit1,User964@virginia.edu,Email Opened,,
2016-11-23T12:07:55.431-0500,Academic_Unit2,User6194@virginia.edu,Email Opened,,
2016-11-23T10:35:19.146-0500,Academic_Unit2,User2374@virginia.edu,Submitted Data,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0.1 Safari/602.2.14",Off Grounds
2016-11-23T10:35:07.824-0500,Academic_Unit2,User2374@virginia.edu,Clicked Link,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0.1 Safari/602.2.14",Off Grounds
2016-11-23T10:35:03.312-0500,Academic_Unit2,User2374@virginia.edu,Email Opened,,
2016-11-23T08:54:35.498-0500,Academic_Unit1,User8333@virginia.edu,Email Opened,,
2016-11-23T08:32:14.095-0500,Academic_Unit1,User187@virginia.edu,Email Opened,,
2016-11-23T08:23:10.570-0500,Academic_Unit1,User794@virginia.edu,Clicked Link,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13F69 Safari/601.1",Off Grounds
2016-11-23T08:23:07.297-0500,Academic_Unit1,User794@virginia.edu,Email Opened,,
2016-11-23T08:21:06.711-0500,Academic_Unit1,User4100@virginia.edu,Clicked Link,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36",Off Grounds
2016-11-23T08:21:02.603-0500,Academic_Unit1,User4100@virginia.edu,Email Opened,,
2016-11-23T07:14:17.319-0500,Academic_Unit1,User7947@virginia.edu,Email Opened,,
2016-11-23T05:40:36.885-0500,Academic_Unit1,User5255@virginia.edu,Email Opened,,
2016-11-23T01:19:20.468-0500,Academic_Unit1,User5958@virginia.edu,Email Opened,,
2016-11-22T22:41:14.202-0500,Academic_Unit2,User8668@virginia.edu,Email Opened,,
2016-11-22T22:40:23.636-0500,Academic_Unit1,User6202@virginia.edu,Email Opened,,
2016-11-22T20:43:53.097-0500,Academic_Unit1,User642@virginia.edu,Email Opened,,
2016-11-22T19:50:20.960-0500,Academic_Unit1,User1090@virginia.edu,Clicked Link,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36",On Grounds
2016-11-22T18:41:11.163-0500,Academic_Unit2,User706@virginia.edu,Submitted Data,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36",Off Grounds
2016-11-22T18:40:55.034-0500,Academic_Unit2,User706@virginia.edu,Clicked Link,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36",Off Grounds
2016-11-22T18:02:27.598-0500,Academic_Unit1,User4369@virginia.edu,Email Opened,,
2016-11-22T18:02:02.076-0500,Academic_Unit2,User3807@virginia.edu,Email Opened,,
2016-11-22T18:00:51.432-0500,Academic_Unit1,User3526@virginia.edu,Email Opened,,
2016-11-22T18:00:29.928-0500,Academic_Unit1,User3526@virginia.edu,Clicked Link,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36",Off Grounds
2016-11-22T17:54:40.632-0500,Academic_Unit2,User5617@virginia.edu,Email Opened,,
2016-11-22T17:03:30.467-0500,Academic_Unit2,User3200@virginia.edu,Clicked Link,"Mozilla/5.0 (Linux; Android 5.1.1; MotoG3 Build/LPI23.72-59) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.85 Mobile Safari/537.36",Off Grounds
2016-11-22T17:01:46.570-0500,Academic_Unit2,User3200@virginia.edu,Submitted Data,"Mozilla/5.0 (Linux; Android 5.1.1; MotoG3 Build/LPI23.72-59) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.85 Mobile Safari/537.36",Off Grounds
2016-11-22T17:01:19.008-0500,Academic_Unit2,User3200@virginia.edu,Email Opened,,
